name,url,description
metapod,https://pokeapi.co/api/v2/pokemon-species/11/,"{'the shell covering this pokémon’s body is as hard as an iron slab. metapod does not move very much. it stays still because it is preparing its soft innards for evolution inside the hard shell.', 'it is waiting for the moment to evolve. at this stage, it can only harden, so it remains motionless to avoid attack.', 'this pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.', 'this pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.', 'this pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body.', 'the shell covering this pokémon’s body is as hard as an iron slab. metapod does not move very much. it stays still because it is preparing its soft innards for evolution inside the hard shell.', 'inside the shell, it is soft and weak as it pre\xad pares to evolve. it stays motion\xad less in the shell.', 'a steel-hard shell protects its tender body. it quietly endures hardships while awaiting evolution.', 'this is its pre- evolved form. at this stage, it can only harden, so it remains motionless to avoid attack.', 'a steel-hard shell protects its tender body. it quietly endures hardships while awaiting evolution.', 'its shell is filled with a thick liquid. all of the cells throughout its body are being rebuilt in preparation for evolution.', 'its hard shell doesn’t crack a bit even if pikipek pecks at it, but it will tip over, spilling out its insides.', 'hardens its shell to protect itself. however, a large impact may cause it to pop out of its shell.', 'inside the shell, it is soft and weak as it prepares to evolve. it stays motionless in the shell.', 'its shell is filled with its soft innards. it doesn’t move much because of the risk it might carelessly spill its innards out.', 'it prepares for evolution by har\xad dening its shell as much as possi\xad ble to protect its soft body.', 'hardens its shell to protect itself. however, a large impact may cause it to pop out of its shell.', 'its shell is hard, but it’s still just a bug shell. it’s been known to break, so intense battles with it should be avoided.', 'its shell is as hard as an iron slab. a metapod does not move very much because it is preparing its soft innards for evolution inside the shell.', 'even though it is encased in a sturdy shell, the body inside is tender. it can’t withstand a harsh attack.', 'even though it is encased in a sturdy shell, the body inside is tender. it can’t withstand a harsh attack.', 'the shell covering this pokémon’s body is as hard as an iron slab. metapod does not move very much. it stays still because it is preparing its soft innards for evolution inside the hard shell.', 'it prepares for evolution by hardening its shell as much as possible to protect its soft body.'}"
butterfree,https://pokeapi.co/api/v2/pokemon-species/12/,"{'it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.', 'the wings are protected by rain-repellent dust. as a result, this pokémon can fly about even in rain.', 'it collects honey every day. it rubs honey onto the hairs on its legs to carry it back to its nest.', 'in battle, it flaps its wings at great speed to release highly toxic dust into the air.', 'it collects honey every day. it rubs honey onto the hairs on its legs to carry it back to its nest.', 'its wings, covered with poisonous powders, repel water. this allows it to fly in the rain.', 'when attacked by other pokémon, it defends itself by scattering its poisonous scales and fluttering its wings.', 'it flits from flower to flower, collecting honey. it can even identify distant flowers in bloom.', 'close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.', 'in battle, it flaps its wings at high speed to release highly toxic dust into the air.', 'nectar from pretty flowers is its favorite food. in fields of flowers, it has heated battles with cutiefly for territory.', 'butterfree has a superior ability to search for delicious honey from flowers. it can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.', 'water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains.', 'butterfree has a superior ability to search for delicious honey from flowers. it can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.', 'its wings are covered in toxic scales. if it finds bird pokémon going after caterpie, butterfree sprinkles its scales on them to drive them off.', 'the wings are protected by rain-repellent dust. as a result, this pokémon can fly about even in rain.', 'it loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.', 'it collects honey every day. it rubs honey onto the hairs on its legs to carry it back to its nest.', 'in battle, it flaps its wings at great speed to release highly toxic dust into the air.', 'water-repellent powder on its wings enables it to collect honey, even in the heav\xad iest of rains.', 'it has a superior ability to search for delicious honey from flowers. it can seek, extract, and carry honey from flowers blooming over six miles away.', 'its wings, covered with poisonous powder, repel water. this allows it to fly in the rain.'}"
weedle,https://pokeapi.co/api/v2/pokemon-species/13/,"{'often found in forests, eating leaves. it has a sharp venomous stinger on its head.', 'beware of the sharp stinger on its head. it hides in grass and bushes where it eats leaves.', 'weedle has an extremely acute sense of smell. it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).', 'the barb on top of its head secretes a strong poison. it uses this toxic barb to protect itself.', 'often found in forests and grasslands. it has a sharp, toxic barb of around two inches on top of its head.', 'beware of the sharp stinger on its head. it hides in grass and bushes where it eats leaves.', 'its poison stinger is very powerful. its bright-colored body is intended to warn off its enemies.', 'often found in forests, eating leaves. it has a sharp stinger on its head that injects poison.', 'often found in forests and grasslands. it has a sharp, toxic barb of around two inches on top of its head.', 'weedle has an extremely acute sense of smell. it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).', 'its poison stinger is very powerful. its bright-colored body is intended to warn off its enemies.', 'it eats its weight in leaves every day. it fends off attackers with the needle on its head.', 'weedle has an extremely acute sense of smell. it is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).', 'it attacks using a two-inch poison barb on its head. it can usually be found under the leaves it eats.', 'its poison stinger is very powerful. its bright-colored body is intended to warn off its enemies.', 'it attacks using a two-inch poison barb on its head. it can usually be found under the leaves it eats.', 'a weedle has an extremely acute sense of smell. it distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).'}"
kakuna,https://pokeapi.co/api/v2/pokemon-species/14/,"{'this pokémon is in a temporary stage while making its body. it is almost completely unable to move on its own.', 'it remains virtually immobile while it clings to a tree. however, on the inside, it busily prepares for evolution. this is evident from how hot its shell becomes.', 'almost incapable of moving, this pokémon can only harden its shell to protect itself when it is in danger.', 'from this form, it will grow into an adult. as its body becomes softer, the external shell hardens.', 'almost incapable of moving, this pokémon can only harden its shell to protect itself when it is in danger.', 'although it is a cocoon, it can move a little. it can extend its poison barb if it is attacked.', 'from this form, it will grow into an adult. as its body becomes soft\xad er, the external shell hardens.', 'able to move only slightly. when endangered, it may stick out its stinger and poison its enemy.', 'while awaiting evolution, it hides from predators under leaves and in nooks of branches.', 'kakuna remains virtually immobile as it clings to a tree. however, on the inside, it is extremely busy as it prepares for its coming evolution. this is evident from how hot the shell becomes to the touch.', 'kakuna remains virtually immobile as it clings to a tree. however, on the inside, it is extremely busy as it prepares for its coming evolution. this is evident from how hot the shell becomes to the touch.', 'able to move only slightly. when endangered, it may stick out its stinger and poison its enemy.', 'although it is a cocoon, it can move a little. it can extend its poison barb if it is attacked.', 'almost incapable of moving, this pokémon can only harden its shell to protect itself from predators.', 'while awaiting evolution, it hides from predators under leaves and in nooks of branches.', 'nearly incapable of movement, it leans against stout trees while waiting for its evolution.', 'kakuna remains virtually immobile as it clings to a tree. however, on the inside, it is extremely busy as it prepares for its coming evolution. this is evident from how hot the shell becomes to the touch.'}"
beedrill,https://pokeapi.co/api/v2/pokemon-species/15/,"{'may appear in a swarm. flies at violent speeds, all the while stabbing with the toxic stinger on its rear.', 'beedrill is extremely territorial. no one should ever approach its nest - this is for their own safety. if angered, they will attack in a furious swarm.', 'a beedrill is extremely territorial. for safety reasons, no one should  ever approach its nest. if angered, they will attack in a swarm.', 'it flies at high speed and attacks using  the large venomous stingers on its forelegs and tail.', 'its best attack involves flying around at high speed, striking with poison needles, then flying off.', 'flies at high speed and attacks using its large venomous stingers on its forelegs and tail.', 'it uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food.', 'it has three poisonous stingers on its forelegs and its tail. they are used to jab its enemy repeatedly.', 'it has three poisonous stingers on its forelegs and its tail. they are used to jab its enemy repeatedly.', 'it has 3 poisonous stingers on its forelegs and its tail. they are used to jab its enemy repeatedly.', 'it has three poison barbs. the barb on its tail secretes the most powerful poison.', 'beedrill is extremely territorial. no one should ever approach its nest—this is for their own safety. if angered, they will attack in a furious swarm.', 'may appear in a swarm. flies at violent speeds, all the while stabbing with the toxic stinger on its rear.', 'it can take down any opponent with its powerful poi\xad son stingers. it sometimes attacks in swarms.', 'it can take down any opponent with its powerful poison stingers. it sometimes attacks in swarms.', 'it has three poison barbs. the barb on its tail secretes the most powerful poison.'}"
pidgey,https://pokeapi.co/api/v2/pokemon-species/16/,"{'a common sight in forests and woods. it flaps its wings at ground level to kick up blinding sand.', 'it rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open.', 'it is docile and prefers to avoid conflict. if disturbed, however, it can ferociously strike back.', 'pidgey has an extremely sharp sense of direction. it is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.', 'common in grassy areas and forests, it is very docile and will chase off enemies by flap\xad ping up sand.', 'it is docile and prefers to avoid conflict. if disturbed, however, it can ferociously strike back.', 'pidgey has an extremely sharp sense of direction. it is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.', 'it usually hides in tall grass. because it dislikes fighting, it protects itself by kicking up sand.', 'common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand.', 'pidgey has an extremely sharp sense of direction. it is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.', 'very docile. if attacked, it will often kick up sand to protect itself rather than fight back.', 'it usually hides in tall grass. be\xad cause it dislikes fighting, it pro\xad tects itself by kicking up sand.', 'very docile. if attacked, it will often kick up sand to protect itself rather than fight back.', 'a common sight in forests and woods. it flaps its wings at ground level to kick up blinding sand.', 'it has an extremely sharp sense of direction. it can unerringly return home to its nest, however far it may be removed from its familiar surroundings.', 'a common sight in forests and woods. it flaps its wings at ground level to kick up blinding sand.', 'does not like to fight. it hides in tall grass and so on, foraging for food such as small bugs.'}"
pidgeotto,https://pokeapi.co/api/v2/pokemon-species/17/,"{'it slowly flies in a circular pat\xad tern, all the while keeping a sharp lookout for prey.', 'this pokémon flies around, patrolling its large territory. if its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.', 'it renders its prey immobile using  well-developed claws, then carries the prey more than 60 miles to its nest.', 'the claws on its feet are well developed. it can carry prey such as an exeggcute to its nest over 60 miles away.', 'it immobilizes its prey using well- developed claws, then carries the prey more than 60 miles to its nest.', 'this pokémon is full of vitality. it constantly flies around its large territory in search of prey.', 'it has outstanding vision. however high it flies, it is able to distinguish the movements of its prey.', 'it has outstanding vision. however high it flies, it is able to distin\xad guish the move\xad ments of its prey.', 'it flies over its wide territory in search of prey, downing it with its highly developed claws.', 'very protective of its sprawling territorial area, this pokémon will fiercely peck at any intruder.', 'pidgeotto claims a large area as its own territory. this pokémon flies around, patrolling its living space. if its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.', 'pidgeotto claims a large area as its own territory. this pokémon flies around, patrolling its living space. if its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.', 'very protective of its sprawling territorial area, this pokémon will fiercely peck at any intruder.', 'very protective of its sprawling territorial area, this pokémon will fiercely peck at any intruder.', 'the claws on its feet are well developed. it can carry prey such as an exeggcute to its nest over 60 miles away.', 'this pokémon is full of vitality. it constantly flies around its large territory in search of prey.', 'pidgeotto claims a large area as its own territory. this pokémon flies around, patrolling its living space. if its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.'}"
pidgeot,https://pokeapi.co/api/v2/pokemon-species/18/,"{'this pokémon has a dazzling plumage of beautifully glossy feathers. many trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose pidgeot as their pokémon.', 'it spreads its gorgeous wings widely to intimidate enemies. it races through the skies at mach-2 speed.', 'this pokémon flies at mach 2 speed, seeking prey. its large talons are feared as wicked weapons.', 'this pokémon flies at mach 2 speed, seeking prey. its large talons are feared as wicked weapons.', 'it spreads its beautiful wings wide to frighten its enemies. it can fly at mach 2 speed.', 'its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.', 'it spreads its gorgeous wings widely to intimidate enemies. it races through the skies at mach-2 speed.', 'its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.', 'it spreads its beautiful wings wide to frighten its enemies. it can fly at mach 2 speed.', 'when hunting, it skims the surface of water at high speed to pick off unwary prey such as magikarp.', 'when hunting, it skims the surface of water at high speed to pick off unwary prey such as magikarp.', 'this pokémon has gorgeous, glossy feathers. many trainers are so captivated by the beautiful feathers on its head that they choose pidgeot as their pokémon.', 'by flapping its wings with all its might, pidgeot can make a gust of wind capable of bending tall trees.', 'when hunting, it skims the surface of water at high speed to pick off unwary prey such as magikarp.', 'by flapping its wings with all its might, pidgeot can make a gust of wind capable of bending tall trees.', 'this pokémon has a dazzling plumage of beautifully glossy feathers. many trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose pidgeot as their pokémon.', 'its outstanding vision allows it to spot splashing magikarp, even while flying at 3300 feet.'}"
rattata,https://pokeapi.co/api/v2/pokemon-species/19/,"{'living wherever there is food available, it ceaselessly scavenges for edibles the entire day.', 'living wherever there is food available, it ceaselessly scav\xad enges for edibles the entire day.', 'this pokémon is common but hazardous. its sharp incisors can easily cut right through hard wood.', 'it eats anything. wherever food is available, it will settle down and produce offspring continuously.', ""this pokémon's impressive vital\xad ity allows it to live anywhere. it also multiplies very quickly."", 'its incisors grow continuously throughout its life. if its incisors get too long, this pokémon becomes unable to eat, and it starves to death.', 'living wherever there is food available, it ceaselessly scavenges for edibles the entire day.', 'a rattata is cautious in the extreme. even while it is asleep, it constantly moves its ears and listens for danger. it will make its nest anywhere.', 'rattata is cautious in the extreme. even while it is asleep, it constantly listens by moving its ears around. it is not picky about where it lives—it will make its nest anywhere.', 'its fangs are long and very sharp. they grow continuously, so it gnaws on hard things to whittle them down.', 'cautious in the extreme, its hardy vitality lets it live in any kind of environment.', 'it searches for food all day. it gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.', 'its incisors continue growing until its death. if its trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.', 'rattata is cautious in the extreme. even while it is asleep, it constantly listens by moving its ears around. it is not picky about where it lives—it will make its nest anywhere.', 'will chew on any\xad thing with its fangs. if you see one, it is certain that 40 more live in the area.', 'with their strong capacity for survival, they can live in dirty places without concern. left unchecked, their numbers multiply rapidly.', 'bites anything when it attacks. small and very quick, it is a common sight in many places.', 'rattata is cautious in the extreme. even while it is asleep, it constantly listens by moving its ears around. it is not picky about where it lives - it will make its nest anywhere.', 'it eats anything. wherever food is available, it will settle down and produce offspring continuously.', 'its fangs are long and very sharp. they grow continuously, so it gnaws on hard things to whittle them down.', 'bites anything when it attacks. small and very quick, it is a common sight in many places.', 'will chew on anything with its fangs. if you see one, you can be certain that 40 more live in the area.'}"
raticate,https://pokeapi.co/api/v2/pokemon-species/20/,"{'it whittles its constantly growing fangs by gnawing on hard things. it can chew apart cinder walls.', 'raticate’s sturdy fangs grow steadily. to keep them ground down, it gnaws on rocks and logs. it may even chew on the walls of houses.', 'its whiskers help it to maintain balance. its fangs never stop growing, so it gnaws to pare them down.', 'it uses its whis\xad kers to maintain its balance. it apparently slows down if they are cut off.', 'a raticate’s sturdy fangs grow steadily. to keep them ground down, it gnaws on rocks and logs. it may even chew on the walls of houses.', 'its whiskers are essential for maintaining its balance. no matter how friendly you are, it will get angry and bite you if you touch its whiskers.', 'raticate’s sturdy fangs grow steadily. to keep them ground down, it gnaws on rocks and logs. it may even chew on the walls of houses.', 'people say that it fled from its enemies by using its small webbed hind feet to swim from island to island in alola.', 'raticate’s sturdy fangs grow steadily. to keep them ground down, it gnaws on rocks and logs. it may even chew on the walls of houses.', 'its hind feet are webbed. they act as flippers, so it can swim in rivers and hunt for prey.', 'the webs on its hind legs enable it to cross rivers. it searches wide areas for food.', 'it uses its whiskers to maintain its balance. it apparently slows down if they are cut off.', 'its hind feet are webbed. they act as flippers, so it can swim in rivers and hunt for prey.', 'with its long fangs, this surprisingly violent pokémon can gnaw away even thick concrete with ease.', 'its whiskers help it to maintain balance. its fangs never stop grow\xad ing, so it gnaws to pare them down.', 'gnaws on anything with its tough fangs. it can even topple concrete buildings by gnaw\xad ing on them.', 'its rear feet have three toes each. they are webbed, enabling it to swim across rivers.', 'its disposition is far more violent than its looks would suggest. don’t let your hand get too close to its face, as it could bite your hand clean off.', 'gnaws on anything with its tough fangs. it can even topple concrete buildings by gnawing on them.', 'its hind feet are webbed, so it’s a strong swimmer. it can cross rivers and sometimes even oceans.', 'the webs on its hind legs enable it to cross rivers. it search\xad es wide areas for food.', 'it whittles its constantly growing fangs by gnawing on hard things. it can chew apart cinder walls.'}"
